max_number,min_number,average_number,max_length,min_length,average_length
155757191846599,0,14834110848391,88,2,14
155757191846599,0,18324880377796,87,2,14
155757191853599,0,7261309249902,88,2,15
155757191853599,0,18324880455085,88,2,14
155757564977020,0,14834152661439,88,2,14
155757659371695,0,14834154947573,88,2,14
155757659371695,0,18324935495447,88,2,14
155757661419975,0,3717135832239,87,1,14
155757952763372,0,14834183080109,87,2,14
155757952763372,0,18324970099757,88,2,14
155757952770372,0,7434218647308,88,2,15
155757952777372,0,7434223743500,87,2,15
155761952784372,0,14834563844009,88,2,14
155761952784372,0,18325440819867,88,2,14
155761952791372,0,7434434535117,88,2,15
155762460025075,0,14834683596836,88,2,14
155762460025075,0,18325500707586,88,2,14
155762919303476,0,14834655893433,87,2,14
155762919310476,0,7260570314257,88,2,15
155762919317476,0,7615717333482,88,2,15
155762919324476,0,7433610171923,87,2,15
155762919324476,0,18325555035147,88,2,14
155762919331476,0,7614923996197,88,2,15
155770419338476,0,14835371134306,87,2,14
155770419338476,0,18326437534433,88,2,14
155771428919814,0,14835475856875,88,2,14
155771428919814,0,18326556399878,88,2,14
155771428926814,0,7615233413184,88,2,15
155771428926814,0,18326556407760,88,2,14
155771428926814,0,18326556433053,88,2,14
155771908972217,0,14835512246554,88,2,14
155821104237360,0,14840199693779,87,2,14
155826930574892,0,14840753157828,88,2,14
155842177338074,0,14842219699086,88,2,14
155842177345074,0,7437095053782,88,2,15
